Class,Sex,Age,Survived
2nd,female,adult,survived
2nd,male,adult,not_survived
2nd,male,adult,not_survived
1st,female,adult,survived
1st,male,adult,not_survived
3rd,male,adult,not_survived
1st,male,adult,not_survived
3rd,female,adult,survived
3rd,female,adult,survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
2nd,male,adult,not_survived
3rd,male,adult,survived
3rd,female,child,not_survived
2nd,male,adult,not_survived
2nd,male,adult,not_survived
2nd,male,adult,not_survived
1st,female,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
1st,male,adult,not_survived
3rd,female,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
2nd,female,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,child,not_survived
3rd,male,child,survived
3rd,female,adult,not_survived
3rd,male,adult,not_survived
1st,male,adult,not_survived
3rd,male,child,not_survived
3rd,female,child,survived
3rd,male,adult,not_survived
1st,male,adult,not_survived
3rd,male,adult,not_survived
1st,female,adult,not_survived
2nd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,child,not_survived
2nd,male,child,survived
3rd,female,child,survived
1st,male,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
2nd,female,adult,survived
2nd,male,adult,not_survived
3rd,female,adult,survived
2nd,male,child,survived
1st,female,adult,survived
1st,female,adult,survived
3rd,male,adult,not_survived
2nd,female,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,survived
3rd,female,child,not_survived
3rd,male,adult,not_survived
3rd,male,adult,survived
3rd,female,adult,survived
1st,male,adult,survived
3rd,male,adult,not_survived
2nd,female,adult,survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
1st,female,adult,survived
3rd,female,adult,survived
2nd,male,adult,not_survived
1st,female,adult,survived
2nd,male,adult,not_survived
3rd,male,adult,survived
2nd,male,adult,not_survived
3rd,male,adult,not_survived
1st,male,adult,survived
3rd,male,adult,not_survived
2nd,male,adult,survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
1st,female,adult,survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
3rd,female,child,survived
2nd,male,adult,not_survived
2nd,male,adult,not_survived
2nd,female,child,survived
2nd,male,adult,not_survived
2nd,male,adult,not_survived
2nd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
1st,male,adult,not_survived
3rd,female,adult,not_survived
2nd,female,adult,survived
1st,male,adult,survived
2nd,male,adult,not_survived
3rd,female,adult,not_survived
1st,male,adult,not_survived
3rd,male,adult,not_survived
3rd,female,adult,not_survived
3rd,female,adult,survived
1st,female,adult,survived
1st,female,adult,survived
2nd,female,adult,survived
3rd,male,child,survived
1st,male,adult,not_survived
1st,male,adult,not_survived
2nd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,survived
1st,female,adult,survived
1st,female,adult,survived
3rd,male,adult,survived
2nd,female,adult,survived
1st,male,adult,not_survived
1st,female,adult,survived
3rd,female,adult,not_survived
3rd,male,child,not_survived
3rd,female,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,survived
3rd,male,adult,not_survived
2nd,male,adult,survived
3rd,female,adult,survived
1st,female,adult,survived
1st,female,adult,survived
2nd,male,adult,not_survived
3rd,female,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
1st,female,child,not_survived
1st,female,adult,survived
3rd,male,adult,not_survived
1st,male,child,survived
1st,female,adult,survived
2nd,male,adult,not_survived
1st,female,adult,survived
1st,female,adult,survived
1st,female,adult,survived
2nd,female,adult,not_survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
3rd,female,adult,survived
2nd,female,adult,survived
2nd,male,adult,not_survived
1st,female,adult,survived
1st,female,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
2nd,female,adult,survived
2nd,female,adult,survived
1st,female,adult,survived
3rd,male,adult,not_survived
2nd,female,adult,survived
3rd,female,adult,survived
1st,female,adult,survived
1st,male,adult,not_survived
1st,male,adult,not_survived
3rd,male,adult,not_survived
1st,male,adult,not_survived
1st,female,adult,survived
3rd,male,adult,survived
1st,male,adult,not_survived
2nd,male,child,survived
1st,female,adult,survived
2nd,male,adult,not_survived
2nd,male,adult,not_survived
2nd,male,adult,not_survived
2nd,female,adult,survived
2nd,female,adult,survived
3rd,male,child,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
1st,female,adult,survived
2nd,female,adult,not_survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
3rd,female,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
1st,female,adult,survived
1st,female,adult,survived
1st,male,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
1st,male,adult,not_survived
3rd,female,child,not_survived
3rd,female,adult,survived
1st,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
1st,female,adult,survived
3rd,female,child,survived
3rd,male,adult,not_survived
1st,female,adult,survived
2nd,male,adult,not_survived
3rd,male,child,not_survived
2nd,female,adult,survived
2nd,female,adult,survived
1st,male,adult,survived
3rd,male,adult,survived
3rd,male,adult,not_survived
1st,female,adult,survived
3rd,female,adult,survived
3rd,male,adult,not_survived
3rd,female,adult,not_survived
2nd,male,adult,not_survived
2nd,male,adult,not_survived
2nd,female,adult,survived
3rd,male,adult,survived
3rd,male,adult,not_survived
3rd,female,adult,not_survived
3rd,male,adult,not_survived
3rd,female,adult,not_survived
2nd,male,adult,not_survived
3rd,male,adult,not_survived
2nd,male,child,survived
3rd,male,adult,not_survived
1st,female,adult,survived
3rd,male,adult,survived
2nd,female,adult,survived
2nd,female,adult,survived
2nd,male,adult,not_survived
3rd,female,child,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,female,adult,not_survived
3rd,male,adult,not_survived
2nd,female,adult,survived
2nd,female,adult,survived
3rd,male,adult,survived
1st,male,adult,survived
2nd,female,adult,survived
3rd,male,adult,not_survived
1st,male,adult,not_survived
1st,female,adult,survived
3rd,female,adult,not_survived
2nd,female,adult,survived
1st,male,adult,not_survived
2nd,male,adult,not_survived
2nd,female,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
2nd,female,adult,survived
1st,male,child,survived
2nd,female,adult,survived
1st,male,adult,survived
3rd,female,child,survived
1st,male,adult,survived
2nd,male,adult,not_survived
1st,male,adult,not_survived
1st,male,adult,survived
3rd,male,adult,survived
1st,male,adult,not_survived
2nd,female,adult,survived
1st,male,adult,survived
3rd,male,adult,not_survived
1st,male,adult,not_survived
2nd,male,adult,not_survived
3rd,male,adult,not_survived
1st,male,adult,not_survived
3rd,female,child,survived
3rd,male,adult,not_survived
2nd,female,adult,survived
2nd,female,adult,survived
3rd,female,adult,not_survived
2nd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,female,child,survived
3rd,male,child,not_survived
3rd,male,adult,not_survived
3rd,female,adult,survived
1st,male,adult,survived
1st,female,adult,survived
1st,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,child,survived
3rd,male,adult,not_survived
1st,male,adult,not_survived
1st,male,adult,not_survived
3rd,male,adult,not_survived
1st,female,adult,survived
1st,female,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,female,adult,not_survived
3rd,female,adult,not_survived
1st,female,adult,survived
1st,male,adult,not_survived
2nd,female,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,survived
3rd,male,adult,survived
1st,male,adult,survived
1st,female,adult,survived
3rd,male,adult,not_survived
1st,male,adult,not_survived
2nd,female,adult,survived
2nd,female,adult,survived
3rd,male,adult,not_survived
1st,female,adult,survived
3rd,male,adult,not_survived
1st,female,adult,survived
3rd,male,adult,not_survived
2nd,female,adult,survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
2nd,female,child,survived
3rd,male,adult,not_survived
3rd,female,adult,not_survived
2nd,female,child,survived
1st,male,adult,not_survived
1st,female,adult,survived
1st,female,adult,survived
1st,female,adult,survived
3rd,female,child,not_survived
3rd,female,child,not_survived
2nd,male,adult,survived
1st,male,adult,not_survived
1st,male,adult,not_survived
2nd,female,adult,survived
3rd,male,adult,not_survived
2nd,male,child,survived
1st,male,adult,survived
2nd,male,adult,not_survived
3rd,male,adult,survived
3rd,female,adult,survived
1st,male,adult,not_survived
1st,female,adult,survived
1st,female,adult,survived
3rd,female,adult,survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,female,adult,not_survived
3rd,male,adult,survived
2nd,male,adult,survived
1st,female,adult,survived
1st,male,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
2nd,female,adult,survived
1st,female,adult,survived
3rd,male,adult,survived
2nd,female,adult,survived
1st,female,adult,survived
2nd,male,adult,not_survived
1st,male,adult,not_survived
1st,female,adult,survived
2nd,male,adult,not_survived
1st,male,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
1st,female,adult,survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
1st,male,adult,survived
2nd,female,adult,survived
3rd,male,adult,not_survived
1st,male,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
1st,male,adult,survived
2nd,female,adult,survived
1st,female,adult,survived
3rd,female,adult,not_survived
3rd,male,adult,not_survived
2nd,female,adult,survived
3rd,male,adult,not_survived
3rd,female,adult,not_survived
2nd,female,child,survived
2nd,male,adult,not_survived
3rd,male,adult,not_survived
1st,male,adult,survived
3rd,male,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
1st,male,adult,not_survived
2nd,male,adult,not_survived
1st,female,adult,survived
3rd,male,adult,not_survived
1st,male,adult,survived
3rd,male,adult,not_survived
1st,male,adult,survived
3rd,female,child,not_survived
2nd,female,adult,survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
3rd,female,adult,not_survived
3rd,male,adult,not_survived
1st,female,adult,survived
3rd,female,child,not_survived
3rd,female,child,survived
1st,male,adult,survived
3rd,male,adult,not_survived
1st,male,adult,survived
3rd,female,adult,survived
2nd,female,adult,survived
3rd,male,adult,not_survived
3rd,female,adult,not_survived
2nd,male,adult,not_survived
3rd,female,adult,not_survived
2nd,male,adult,not_survived
1st,male,adult,not_survived
1st,male,adult,survived
3rd,male,adult,not_survived
1st,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,survived
2nd,male,adult,not_survived
2nd,male,adult,not_survived
3rd,male,adult,not_survived
2nd,female,adult,survived
1st,male,adult,not_survived
2nd,male,adult,not_survived
2nd,male,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,female,adult,survived
3rd,female,adult,not_survived
1st,male,adult,survived
1st,male,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
2nd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
1st,female,adult,survived
1st,male,adult,survived
3rd,female,child,survived
3rd,male,adult,not_survived
1st,male,adult,not_survived
2nd,male,adult,not_survived
3rd,male,adult,not_survived
1st,male,adult,not_survived
3rd,male,adult,not_survived
1st,female,adult,survived
1st,male,adult,survived
3rd,female,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
2nd,female,adult,survived
1st,male,adult,survived
1st,female,adult,survived
1st,female,adult,survived
1st,male,adult,survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
3rd,male,adult,not_survived
1st,female,adult,survived
2nd,female,adult,survived
3rd,male,adult,not_survived
2nd,female,child,survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
2nd,male,adult,not_survived
1st,male,adult,survived
3rd,male,adult,not_survived
2nd,female,adult,survived
2nd,male,adult,not_survived
3rd,female,adult,not_survived
1st,female,adult,survived
3rd,male,child,not_survived
2nd,male,adult,not_survived
2nd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,female,adult,not_survived
1st,male,adult,survived
1st,male,adult,not_survived
1st,female,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,survived
1st,male,adult,not_survived
3rd,male,adult,not_survived
2nd,female,adult,survived
1st,male,adult,not_survived
3rd,male,adult,not_survived
2nd,female,child,survived
3rd,male,child,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
2nd,female,adult,survived
2nd,male,child,survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
3rd,male,adult,not_survived
1st,female,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,survived
1st,female,adult,survived
3rd,male,adult,not_survived
1st,female,adult,survived
3rd,female,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
2nd,female,adult,not_survived
2nd,female,adult,survived
3rd,male,adult,not_survived
3rd,female,child,survived
1st,female,adult,survived
3rd,female,adult,survived
1st,female,adult,survived
1st,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,female,adult,survived
3rd,male,child,not_survived
3rd,male,child,survived
1st,male,adult,not_survived
2nd,male,adult,not_survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
1st,female,adult,survived
3rd,female,adult,survived
3rd,male,adult,not_survived
3rd,female,adult,not_survived
2nd,male,adult,not_survived
2nd,female,adult,survived
1st,male,child,survived
3rd,male,child,survived
3rd,male,adult,survived
3rd,male,adult,not_survived
1st,male,adult,not_survived
3rd,female,adult,not_survived
2nd,male,adult,not_survived
1st,female,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
3rd,female,child,not_survived
3rd,male,adult,not_survived
3rd,female,adult,not_survived
2nd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,child,not_survived
1st,female,adult,survived
3rd,male,adult,survived
1st,male,adult,not_survived
3rd,female,adult,survived
3rd,male,child,not_survived
2nd,male,child,survived
1st,female,adult,survived
3rd,female,adult,survived
2nd,male,child,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
1st,female,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
1st,female,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
3rd,male,child,not_survived
3rd,male,adult,not_survived
3rd,female,child,not_survived
1st,female,adult,survived
2nd,female,adult,not_survived
3rd,female,adult,survived
1st,female,adult,survived
1st,male,adult,survived
3rd,female,adult,survived
3rd,male,adult,not_survived
2nd,male,adult,not_survived
1st,female,adult,survived
2nd,male,adult,not_survived
2nd,female,adult,survived
2nd,female,adult,survived
1st,male,adult,not_survived
3rd,male,child,survived
3rd,male,adult,not_survived
1st,female,adult,survived
1st,male,adult,not_survived
3rd,male,adult,not_survived
2nd,female,adult,survived
3rd,female,adult,survived
3rd,male,adult,not_survived
3rd,male,adult,not_survived
1st,female,adult,survived
2nd,female,adult,survived
3rd,male,adult,not_survived
3rd,female,adult,not_survived
2nd,male,adult,not_survived
3rd,male,adult,not_survived
3rd,female,adult,not_survived
2nd,male,adult,not_survived
1st,female,adult,survived
1st,male,adult,survived
3rd,male,adult,not_survived
